"","Div","Date","Day","Month","HomeTeam","AwayTeam","FTHG","FTAG","Result","Hpoints","Apoints","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season","UtcDate","HTop6","ATop6","HLast5GamesGoals","ALast5GamesGoals","HLast3GamesGoalsVSOpposition","ALast3GamesGoalsVSOpposition","HLast5GamesGoalsConceded","ALast5GamesGoalsConceded","HForm","AForm","HomeGoalsPredictionTree","AwayGoalsPredictionTree","HomeGoalsPredictionReg","AwayGoalsPredictionReg"
"3285","E0","31/01/18","Sunday","January","Everton","Leicester",2,1,"H",3,0,"H",2,0,"H","C Kavanagh",9,8,4,1,9,10,5,5,0,2,0,0,"17/18",1517385600,0,0,1.2,1.8,2.66666666666667,2.33333333333333,0.8,1.4,8,7,1.48,1.09,2,1
"3286","E0","31/01/18","Sunday","January","Man City","West Brom",3,0,"H",3,0,"H",1,0,"H","R Madley",19,3,10,1,10,10,9,1,1,3,0,0,"17/18",1517385600,1,0,3.2,0.6,2.66666666666667,0.666666666666667,0.8,1.4,15,2,2.26,0.73,3,1
"3290","E0","31/01/18","Sunday","January","Tottenham","Man United",2,0,"H",3,0,"H",2,0,"H","A Marriner",22,6,6,3,10,13,6,3,2,2,0,0,"17/18",1517385600,1,1,3.4,2,1.66666666666667,0.333333333333333,0.8,0.8,13,13,1.7,1.18,2,1
"3291","E0","03/02/18","Tuesday","February","Arsenal","Everton",5,1,"H",3,0,"H",4,0,"H","N Swarbrick",15,11,7,2,8,8,4,6,2,0,0,0,"17/18",1517644800,1,0,2.2,0.6,2.33333333333333,0.666666666666667,1.8,1.4,8,5,2.26,0.73,2,1
"3294","E0","03/02/18","Tuesday","February","Burnley","Man City",1,1,"D",1,1,"D",0,1,"A","M Atkinson",8,20,3,7,9,6,3,13,4,1,0,0,"17/18",1517644800,0,1,0.6,2,1,2.66666666666667,1.2,1,6,10,1.06,1.81,1,2
"3295","E0","03/02/18","Tuesday","February","Leicester","Swansea",1,1,"D",1,1,"D",1,0,"H","A Taylor",13,3,5,1,9,8,3,3,1,0,0,0,"17/18",1517644800,0,0,1.6,1,2.66666666666667,0.333333333333333,1,2.4,10,4,1.48,1.09,1,1
"3297","E0","03/02/18","Tuesday","February","West Brom","Southampton",2,3,"A",0,3,"A",1,2,"A","M Oliver",9,13,3,5,12,10,5,7,2,1,0,0,"17/18",1517644800,0,0,0.8,1,0.333333333333333,0.333333333333333,0.6,1.8,6,3,1.48,1.09,1,1
"3298","E0","04/02/18","Wednesday","February","Crystal Palace","Newcastle",1,1,"D",1,1,"D",0,1,"A","A Marriner",21,11,6,8,11,8,5,6,1,1,0,0,"17/18",1517731200,0,0,1.4,1.2,2,1.66666666666667,1.2,1.8,8,6,1.48,1.09,1,1
"3299","E0","04/02/18","Wednesday","February","Liverpool","Tottenham",2,2,"D",1,1,"D",1,0,"H","J Moss",9,13,3,6,15,9,3,7,3,1,0,0,"17/18",1517731200,1,1,2.4,1.6,2,1,1,1.2,11,8,1.7,1.18,2,1
"3301","E0","10/02/18","Thursday","February","Everton","Crystal Palace",3,1,"H",3,0,"H",0,0,"D","J Moss",11,16,5,4,14,15,8,7,1,1,0,0,"17/18",1518249600,0,0,1.2,1.6,1.33333333333333,1.66666666666667,1,1.4,8,8,1.48,1.09,1,1
"3302","E0","10/02/18","Thursday","February","Man City","Leicester",5,1,"H",3,0,"H",1,1,"D","M Jones",19,2,11,2,10,12,8,2,2,3,0,0,"17/18",1518249600,1,0,3.4,1.4,1.66666666666667,1.33333333333333,0.6,1.4,15,4,2.26,0.73,3,1
"3305","E0","10/02/18","Thursday","February","Tottenham","Arsenal",1,0,"H",3,0,"H",0,0,"D","A Taylor",18,6,6,1,13,9,10,2,2,1,0,0,"17/18",1518249600,1,1,2.8,1.2,2,1,0.6,1.6,13,5,1.7,1.18,2,1
"3308","E0","11/02/18","Friday","February","Newcastle","Man United",1,0,"H",3,0,"H",0,0,"D","C Pawson",10,13,3,6,12,15,0,10,0,2,0,0,"17/18",1518336000,0,1,0.4,1.4,1,2.66666666666667,0.8,1,3,10,1.06,1.81,1,2
"3309","E0","11/02/18","Friday","February","Southampton","Liverpool",0,2,"A",0,3,"A",0,2,"A","M Atkinson",6,16,4,4,5,8,3,1,1,2,0,0,"17/18",1518336000,0,1,1,2.4,1,1.33333333333333,1.8,1,3,10,1.06,1.81,1,2
"3310","E0","12/02/18","Saturday","February","Chelsea","West Brom",3,0,"H",3,0,"H",1,0,"H","L Mason",20,8,8,1,11,11,8,7,0,2,0,0,"17/18",1518422400,1,0,1.6,0.6,1.66666666666667,0.666666666666667,0.6,1.8,10,2,2.26,0.73,2,1
"3314","E0","24/02/18","Sunday","February","Leicester","Stoke",1,1,"D",1,1,"D",0,1,"A","M Oliver",19,6,9,2,10,16,13,1,1,3,0,0,"17/18",1519459200,0,0,1.6,0.4,1.66666666666667,0.333333333333333,1.2,2.4,8,1,1.48,1.09,1,1
"3315","E0","24/02/18","Sunday","February","Liverpool","West Ham",4,1,"H",3,0,"H",1,0,"H","S Attwell",21,7,12,4,7,7,8,2,0,2,0,0,"17/18",1519459200,1,0,2.6,2.4,1.33333333333333,1.66666666666667,1.2,1.6,11,8,2.26,0.73,3,1
"3318","E0","25/02/18","Tuesday","February","Crystal Palace","Tottenham",0,1,"A",0,3,"A",0,0,"D","K Friend",5,14,3,4,12,5,2,13,0,1,0,0,"17/18",1519545600,0,1,1.2,1.8,1,1.66666666666667,1,1.4,8,8,1.06,1.81,1,2
"3319","E0","25/02/18","Tuesday","February","Man United","Chelsea",2,1,"H",3,0,"H",1,1,"D","M Atkinson",10,14,5,7,13,12,3,4,2,2,0,0,"17/18",1519545600,1,1,1.6,2,1,0.333333333333333,0.4,1.4,11,8,1.7,1.18,2,1
"3320","E0","01/03/18","Sunday","March","Arsenal","Man City",0,3,"A",0,3,"A",0,3,"A","A Marriner",10,9,5,5,11,11,6,1,1,1,0,0,"17/18",1519891200,1,1,3,1.8,2,1.66666666666667,1.4,1,11,8,1.7,1.18,2,1
"3321","E0","03/03/18","Tuesday","March","Burnley","Everton",2,1,"H",3,0,"H",0,1,"A","C Kavanagh",21,10,8,4,9,12,10,4,1,1,0,1,"17/18",1520064000,0,0,0.6,0.4,1.33333333333333,1.33333333333333,1.6,2.4,2,1,1.48,1.09,1,1
"3323","E0","03/03/18","Tuesday","March","Liverpool","Newcastle",2,0,"H",3,0,"H",1,0,"H","G Scott",14,7,3,2,7,9,8,3,0,0,0,0,"17/18",1520064000,1,0,3.4,1.6,2,1,1.4,1.6,13,8,2.26,0.73,3,1
"3324","E0","03/03/18","Tuesday","March","Southampton","Stoke",0,0,"D",1,1,"D",0,0,"D","A Taylor",18,12,6,3,8,13,15,4,0,1,0,0,"17/18",1520064000,0,0,0.8,0.6,0.333333333333333,0.666666666666667,1.4,2.4,3,2,1.48,1.09,1,1
"3325","E0","03/03/18","Tuesday","March","Swansea","West Ham",4,1,"H",3,0,"H",2,0,"H","M Atkinson",9,7,8,2,9,14,4,5,0,3,0,0,"17/18",1520064000,0,0,1.2,2,0.666666666666667,1.66666666666667,0.8,2.4,10,5,1.48,1.09,1,1
"3329","E0","04/03/18","Thursday","March","Man City","Chelsea",1,0,"H",3,0,"H",0,0,"D","M Oliver",13,3,3,0,8,9,5,2,2,1,0,0,"17/18",1520150400,1,1,3.6,1.6,1.66666666666667,1.33333333333333,0.6,1.6,15,5,1.7,1.18,2,1
"3330","E0","05/03/18","Friday","March","Crystal Palace","Man United",2,3,"A",0,3,"A",1,0,"H","N Swarbrick",10,17,4,8,10,8,3,7,1,3,0,0,"17/18",1520236800,0,1,0.8,1,0.666666666666667,1.33333333333333,1,1,5,7,1.06,1.81,1,2
"3331","E0","10/03/18","Thursday","March","Chelsea","Crystal Palace",2,1,"H",3,0,"H",2,0,"H","A Taylor",27,9,11,2,8,9,12,3,1,2,0,0,"17/18",1520668800,1,0,2,1.2,1,1.33333333333333,0.6,2,10,5,2.26,0.73,2,1
"3334","E0","10/03/18","Thursday","March","Man United","Liverpool",2,1,"H",3,0,"H",2,0,"H","C Pawson",5,14,2,2,10,16,1,13,2,1,0,0,"17/18",1520668800,1,1,1.8,2,2.33333333333333,0.666666666666667,0.6,1,11,10,1.7,1.18,2,1
"3335","E0","10/03/18","Thursday","March","Newcastle","Southampton",3,0,"H",3,0,"H",2,0,"H","A Marriner",7,6,5,2,10,10,2,6,0,2,0,0,"17/18",1520668800,0,0,0.6,1.6,1.33333333333333,1.66666666666667,0.6,2,6,6,1.48,1.09,1,1
"3336","E0","10/03/18","Thursday","March","West Brom","Leicester",1,4,"A",0,3,"A",1,1,"D","R Madley",6,14,2,6,6,7,7,6,1,3,0,0,"17/18",1520668800,0,0,1.2,0.8,1.33333333333333,2.33333333333333,1.2,2.2,5,1,1.48,1.09,2,1
"3337","E0","10/03/18","Thursday","March","West Ham","Burnley",0,3,"A",0,3,"A",0,0,"D","L Mason",13,7,4,4,13,7,5,1,2,2,0,0,"17/18",1520668800,0,0,1.6,0.6,2.33333333333333,1,1.2,1,8,3,1.48,1.09,1,1
"3340","E0","12/03/18","Sunday","March","Stoke","Man City",0,2,"A",0,3,"A",0,1,"A","J Moss",3,17,0,6,6,8,3,10,1,0,0,0,"17/18",1520838000,0,1,1.2,1.6,1.33333333333333,2.66666666666667,0.6,1,8,8,1.06,1.81,1,2
"3344","E0","17/03/18","Saturday","March","Stoke","Everton",1,2,"A",0,3,"A",0,0,"D","M Atkinson",9,17,4,9,13,12,1,9,1,1,1,0,"17/18",1521270000,0,0,0.6,0.6,1,1.33333333333333,0.8,2.8,5,0,1.48,1.09,1,1
"3346","E0","31/03/18","Wednesday","March","Crystal Palace","Liverpool",1,2,"A",0,3,"A",1,0,"H","N Swarbrick",6,16,3,6,6,8,4,6,2,2,0,0,"17/18",1522479600,0,1,0.8,1.6,2,2.33333333333333,1,0.8,5,9,1.06,1.81,1,2
"3347","E0","31/03/18","Wednesday","March","Everton","Man City",1,3,"A",0,3,"A",0,3,"A","P Tierney",6,18,2,4,10,8,2,11,0,0,0,0,"17/18",1522479600,0,1,1.6,1.8,1.66666666666667,1,1,1,10,8,1.06,1.81,1,2
"3348","E0","31/03/18","Wednesday","March","Man United","Swansea",2,0,"H",3,0,"H",2,0,"H","R Madley",11,3,5,2,5,13,3,3,0,0,0,0,"17/18",1522479600,1,0,1.8,1,1.33333333333333,1.33333333333333,0.4,1.4,13,6,2.26,0.73,2,1
"3352","E0","31/03/18","Wednesday","March","West Ham","Southampton",3,0,"H",3,0,"H",3,0,"H","J Moss",13,9,5,0,9,16,5,9,0,3,0,0,"17/18",1522479600,0,0,1.2,1.2,1,2.33333333333333,1.2,1.6,8,6,1.48,1.09,1,1
"3353","E0","01/04/18","Wednesday","April","Arsenal","Stoke",3,0,"H",3,0,"H",0,0,"D","C Pawson",24,8,11,2,9,13,6,5,1,2,0,0,"17/18",1522566000,1,0,2.8,0.4,2.66666666666667,0.333333333333333,1.4,2.2,10,2,2.26,0.73,2,1
"3354","E0","01/04/18","Wednesday","April","Chelsea","Tottenham",1,3,"A",0,3,"A",1,1,"D","A Marriner",14,12,4,7,4,11,5,5,0,1,0,0,"17/18",1522566000,1,1,2,2,2.33333333333333,1,0.8,0.8,10,11,1.7,1.18,2,1
"3357","E0","07/04/18","Wednesday","April","Everton","Liverpool",0,0,"D",1,1,"D",0,0,"D","M Oliver",6,10,1,3,12,7,3,2,0,0,0,0,"17/18",1523084400,0,1,1.8,1.6,0.333333333333333,0.666666666666667,1.2,0.8,10,9,1.06,1.81,1,2
"3359","E0","07/04/18","Wednesday","April","Man City","Man United",2,3,"A",0,3,"A",2,0,"H","M Atkinson",20,5,6,4,17,9,8,4,6,3,0,0,"17/18",1523084400,1,1,3,1.2,0.333333333333333,0.333333333333333,0.6,1,15,9,1.7,1.18,2,1
"3360","E0","07/04/18","Wednesday","April","Stoke","Tottenham",1,2,"A",0,3,"A",0,0,"D","G Scott",10,15,4,4,19,8,6,3,4,3,0,0,"17/18",1523084400,0,1,0.8,2.2,1,2.66666666666667,1,1,5,11,1.06,1.81,1,2
"3362","E0","07/04/18","Wednesday","April","West Brom","Swansea",1,1,"D",1,1,"D",0,0,"D","R East",15,7,3,1,15,5,5,1,3,2,0,0,"17/18",1523084400,0,0,1.4,0.6,2,0.666666666666667,2.2,1.6,3,3,1.48,1.09,1,1
"3363","E0","08/04/18","Friday","April","Arsenal","Southampton",3,2,"H",3,0,"H",2,1,"H","A Marriner",13,15,7,8,11,7,8,6,2,1,1,1,"17/18",1523170800,1,0,3,1.2,1,0.333333333333333,1,2.2,12,5,2.26,0.73,2,1
"3364","E0","08/04/18","Friday","April","Chelsea","West Ham",1,1,"D",1,1,"D",1,0,"H","K Friend",23,5,6,2,7,11,10,6,0,1,0,0,"17/18",1523170800,1,0,1.2,1.6,2,1,1.4,2.6,7,4,2.26,0.73,2,1
"3369","E0","14/04/18","Friday","April","Southampton","Chelsea",2,3,"A",0,3,"A",1,0,"H","M Dean",10,17,7,5,13,14,4,7,5,3,0,0,"17/18",1523689200,0,1,0.6,1.6,0.666666666666667,1.66666666666667,1.2,1.8,3,4,1.06,1.81,1,2
"3370","E0","14/04/18","Friday","April","Swansea","Everton",1,1,"D",1,1,"D",0,1,"A","L Mason",17,12,7,3,10,11,6,3,1,1,0,0,"17/18",1523689200,0,0,1.8,0.8,0.666666666666667,0.333333333333333,0.8,2.6,12,3,1.48,1.09,1,1
"3371","E0","14/04/18","Friday","April","Tottenham","Man City",1,3,"A",0,3,"A",1,2,"A","J Moss",8,17,3,6,11,12,5,7,3,4,0,0,"17/18",1523689200,1,1,2,2.4,2,0.666666666666667,0.2,1.2,13,10,1.7,1.18,2,1
"3372","E0","15/04/18","Saturday","April","Man United","West Brom",0,1,"A",0,3,"A",0,0,"D","P Tierney",14,10,4,4,8,13,4,4,1,1,0,0,"17/18",1523775600,1,0,2.2,0.4,0.666666666666667,0.333333333333333,0.4,2,15,1,2.26,0.73,2,1
"3373","E0","15/04/18","Saturday","April","Newcastle","Arsenal",2,1,"H",3,0,"H",1,1,"D","A Taylor",8,15,4,3,11,9,2,5,1,0,0,0,"17/18",1523775600,0,1,1.4,0.8,0.333333333333333,1.33333333333333,0.4,1.8,11,1,1.06,1.81,1,2
"3374","E0","16/04/18","Monday","April","West Ham","Stoke",1,1,"D",1,1,"D",0,0,"D","M Oliver",18,11,6,7,15,21,10,1,2,3,0,0,"17/18",1523862000,0,0,1.4,0.4,0.666666666666667,0.666666666666667,1,1.8,8,2,1.48,1.09,1,1
"3377","E0","19/04/18","Thursday","April","Burnley","Chelsea",1,2,"A",0,3,"A",0,1,"A","R Madley",5,16,2,5,9,11,3,2,1,0,0,0,"17/18",1524121200,0,1,1.2,1.8,1,2,1,1.8,8,6,1.06,1.81,1,2
"3378","E0","19/04/18","Thursday","April","Leicester","Southampton",0,0,"D",1,1,"D",0,0,"D","R East",11,6,3,2,10,10,11,3,0,0,0,0,"17/18",1524121200,0,0,1.2,1.2,1,0,1,2.4,6,4,1.48,1.09,1,1
"3380","E0","21/04/18","Sunday","April","West Brom","Liverpool",2,2,"D",1,1,"D",0,1,"A","S Attwell",13,9,6,3,12,5,7,4,0,1,0,0,"17/18",1524294000,0,1,1.2,1.6,0.333333333333333,0.666666666666667,2.4,0.6,1,10,1.06,1.81,1,2
"3381","E0","22/04/18","Monday","April","Arsenal","West Ham",4,1,"H",3,0,"H",0,0,"D","L Mason",20,11,8,4,11,9,8,6,3,2,0,0,"17/18",1524380400,1,0,2.8,1.6,2,0.666666666666667,1.2,2.6,12,4,2.26,0.73,3,1
"3382","E0","22/04/18","Monday","April","Man City","Swansea",5,0,"H",3,0,"H",2,0,"H","C Pawson",19,4,12,1,6,8,5,1,0,1,0,0,"17/18",1524380400,1,0,2.8,0.6,2,1,1,1.6,12,3,2.26,0.73,3,1
"3383","E0","22/04/18","Monday","April","Stoke","Burnley",1,1,"D",1,1,"D",1,0,"H","M Dean",8,16,3,7,15,5,3,8,2,1,0,0,"17/18",1524380400,0,0,0.6,1.6,1.66666666666667,0.666666666666667,1.4,0.8,2,10,1.48,1.09,1,1
"3384","E0","23/04/18","Tuesday","April","Everton","Newcastle",1,0,"H",3,0,"H",0,0,"D","R Madley",9,9,1,2,10,11,4,6,2,1,0,0,"17/18",1524466800,0,0,1.6,1.2,3,0.666666666666667,1,1.8,10,5,1.48,1.09,1,1
"3386","E0","28/04/18","Tuesday","April","Crystal Palace","Leicester",5,0,"H",3,0,"H",2,0,"H","M Dean",15,6,9,1,11,9,8,2,1,1,0,1,"17/18",1524898800,0,0,1.4,1.8,1.33333333333333,1,1.8,2,4,6,1.48,1.09,1,1
"3388","E0","28/04/18","Tuesday","April","Liverpool","Stoke",0,0,"D",1,1,"D",0,0,"D","A Marriner",20,5,2,1,7,14,9,2,1,2,0,0,"17/18",1524898800,1,0,3.2,0.6,3,0.666666666666667,0.6,1.4,13,3,2.26,0.73,3,1
"3389","E0","28/04/18","Tuesday","April","Newcastle","West Brom",0,1,"A",0,3,"A",0,1,"A","D Coote",17,9,2,2,8,13,5,1,1,3,0,0,"17/18",1524898800,0,0,1.6,0.4,1.33333333333333,0.666666666666667,0.4,1.8,13,3,1.48,1.09,1,1
"3391","E0","28/04/18","Tuesday","April","Swansea","Chelsea",0,1,"A",0,3,"A",0,1,"A","J Moss",10,11,3,3,13,9,1,2,1,1,0,0,"17/18",1524898800,0,1,2,1.4,1,2.33333333333333,0.6,2,13,6,1.06,1.81,1,2
"3392","E0","29/04/18","Wednesday","April","Man United","Arsenal",2,1,"H",3,0,"H",1,0,"H","K Friend",17,8,3,3,12,7,9,0,0,1,0,0,"17/18",1524985200,1,1,1.6,0.8,1.66666666666667,1.33333333333333,0.6,2,12,0,1.7,1.18,2,1
"3393","E0","29/04/18","Wednesday","April","West Ham","Man City",1,4,"A",0,3,"A",1,2,"A","N Swarbrick",4,19,1,7,5,11,0,7,0,1,0,0,"17/18",1524985200,0,1,1.4,2.4,1.33333333333333,2.33333333333333,1,0.6,8,13,1.06,1.81,1,2
"3397","E0","05/05/18","Wednesday","May","Everton","Southampton",1,1,"D",1,1,"D",0,0,"D","J Moss",9,11,3,5,14,12,3,4,2,4,0,1,"17/18",1525503600,0,0,1.4,0.6,1.66666666666667,0.333333333333333,0.8,2,10,2,1.48,1.09,1,1
"3398","E0","05/05/18","Wednesday","May","Leicester","West Ham",0,2,"A",0,3,"A",0,1,"A","C Kavanagh",13,13,2,3,8,9,8,3,1,2,0,0,"17/18",1525503600,0,0,0.8,1,1.66666666666667,1,1,3.2,4,1,1.48,1.09,1,1
"3399","E0","05/05/18","Wednesday","May","Stoke","Crystal Palace",1,2,"A",0,3,"A",1,0,"H","M Atkinson",7,13,2,2,18,12,1,7,5,2,0,0,"17/18",1525503600,0,0,0.8,1.2,1,1.33333333333333,1.6,1.4,2,5,1.48,1.09,1,1
"3401","E0","05/05/18","Wednesday","May","West Brom","Tottenham",1,0,"H",3,0,"H",0,0,"D","M Jones",9,18,1,5,13,12,5,9,4,1,0,0,"17/18",1525503600,0,1,1.2,2.2,0.666666666666667,1.66666666666667,2.2,0.8,2,13,1.06,1.81,1,2
"3402","E0","06/05/18","Thursday","May","Arsenal","Burnley",5,0,"H",3,0,"H",2,0,"H","A Marriner",16,6,8,2,6,7,4,5,0,1,0,0,"17/18",1525590000,1,0,2.6,1.6,2.66666666666667,0.666666666666667,1.2,0.8,12,10,2.26,0.73,2,1
"3403","E0","06/05/18","Thursday","May","Chelsea","Liverpool",1,0,"H",3,0,"H",1,0,"H","A Taylor",12,10,4,5,12,9,3,1,3,2,0,0,"17/18",1525590000,1,1,1.4,1.4,1,2,1.6,1,7,8,1.7,1.18,2,1
"3405","E0","08/05/18","Sunday","May","Swansea","Southampton",0,1,"A",0,3,"A",0,0,"D","M Oliver",11,13,3,8,7,15,7,6,2,1,0,0,"17/18",1525762800,0,0,1.8,0.6,0.666666666666667,1,0.8,2,10,2,1.48,1.09,2,1
"3407","E0","09/05/18","Monday","May","Leicester","Arsenal",3,1,"H",3,0,"H",1,0,"H","G Scott",19,14,10,7,7,12,6,6,2,2,0,1,"17/18",1525849200,0,1,0.6,0.8,1,2,1.2,2,3,0,1.06,1.81,1,2
"3409","E0","09/05/18","Monday","May","Tottenham","Newcastle",1,0,"H",3,0,"H",0,0,"D","N Swarbrick",11,14,7,3,10,8,6,4,2,3,0,0,"17/18",1525849200,1,0,1.6,1,0.666666666666667,1.66666666666667,0.6,1.6,12,4,2.26,0.73,2,1
"3410","E0","10/05/18","Tuesday","May","West Ham","Man United",0,0,"D",1,1,"D",0,0,"D","J Moss",9,16,2,6,12,12,1,6,1,1,0,0,"17/18",1525935600,0,1,1.4,1.6,1.33333333333333,1.66666666666667,1.6,1.2,7,9,1.06,1.81,1,2
"3412","E0","13/05/18","Saturday","May","Crystal Palace","West Brom",2,0,"H",3,0,"H",0,0,"D","J Moss",11,7,5,1,10,11,4,2,2,3,0,0,"17/18",1526194800,0,0,2.2,0.6,0.666666666666667,1,1.6,1.2,6,6,1.48,1.09,1,1
"3416","E0","13/05/18","Saturday","May","Newcastle","Chelsea",3,0,"H",3,0,"H",1,0,"H","M Atkinson",16,6,6,2,11,10,4,2,0,1,0,0,"17/18",1526194800,0,1,1.4,1.4,2,1,0.4,1.2,12,9,1.06,1.81,1,1
"3417","E0","13/05/18","Saturday","May","Southampton","Man City",0,1,"A",0,3,"A",0,0,"D","A Marriner",8,13,3,2,8,10,1,12,3,1,0,0,"17/18",1526194800,0,1,1,3,1.33333333333333,2.66666666666667,1.4,0.6,5,15,1.06,1.81,1,2
"3418","E0","13/05/18","Saturday","May","Swansea","Stoke",1,2,"A",0,3,"A",1,2,"A","A Taylor",26,8,11,5,12,9,6,0,1,2,0,0,"17/18",1526194800,0,0,1.2,0.4,1.33333333333333,0.333333333333333,0.8,1,7,4,1.48,1.09,1,1
"3419","E0","13/05/18","Saturday","May","Tottenham","Leicester",5,4,"H",3,0,"H",1,2,"A","C Pawson",14,16,6,9,9,13,4,4,1,2,0,0,"17/18",1526194800,1,0,1.4,1.6,1.66666666666667,1.66666666666667,0.6,2.6,12,6,2.26,0.73,2,1
"3420","E0","13/05/18","Saturday","May","West Ham","Everton",3,1,"H",3,0,"H",1,0,"H","G Scott",15,14,4,7,10,13,6,6,0,1,0,0,"17/18",1526194800,0,0,1,1.2,0.666666666666667,1,1.6,1,5,7,1.48,1.09,1,1
"3521","E0","03/11/2018","03/11/2018","03/11/2018","Arsenal","Liverpool",1,1,"D",1,1,"D",0,0,"D","A Marriner",12,13,4,4,7,7,5,8,1,1,0,0,"18/19",1541228400,1,1,2,1.6,2,2.33333333333333,0.8,0.6,12,13,1.7,1.18,2,1
"3522","E0","03/11/2018","03/11/2018","03/11/2018","Bournemouth","Man United",1,2,"A",0,3,"A",1,1,"D","P Tierney",18,18,7,8,12,12,9,5,4,3,0,0,"18/19",1541228400,0,1,2,1.8,1,2,1,1.8,11,7,1.06,1.81,1,2
"3526","E0","03/11/2018","03/11/2018","03/11/2018","West Ham","Burnley",4,2,"H",3,0,"H",1,1,"D","R East",22,6,10,3,7,9,10,4,1,4,0,0,"18/19",1541228400,0,0,0.8,0.8,0.666666666666667,1,1,2.2,4,4,1.48,1.09,1,1
"3527","E0","03/11/2018","03/11/2018","03/11/2018","Wolves","Tottenham",2,3,"A",0,3,"A",0,2,"A","M Dean",16,10,7,8,11,8,5,1,1,2,0,0,"18/19",1541228400,0,1,1.2,1.8,1.33333333333333,1.66666666666667,1,0.6,8,12,1.06,1.81,1,2
"3528","E0","04/11/2018","04/11/2018","04/11/2018","Chelsea","Crystal Palace",3,1,"H",3,0,"H",1,0,"H","M Oliver",15,7,6,2,6,13,4,2,0,1,0,0,"18/19",1541314800,1,0,2.4,1,1.33333333333333,1.66666666666667,1.2,1.2,11,6,2.26,0.73,2,1
"3529","E0","04/11/2018","04/11/2018","04/11/2018","Man City","Southampton",6,1,"H",3,0,"H",4,1,"H","L Mason",18,12,8,6,14,9,4,4,1,1,0,0,"18/19",1541314800,1,0,3.6,0.6,2,1,0.4,1.4,15,4,2.26,0.73,3,1
"3532","E0","10/11/2018","10/11/2018","10/11/2018","Crystal Palace","Tottenham",0,1,"A",0,3,"A",0,0,"D","J Moss",11,11,4,2,12,9,10,6,1,1,0,0,"18/19",1541836800,0,1,0.4,1.8,0.333333333333333,1.66666666666667,1.4,1,2,12,1.06,1.81,1,2
